"exact_proposed_wording","immutable_supporting_files","supporting_sections","population_and_comparator","category","stronger_unsupported_wording"
"The development-selected five-population diffusion lead did not replicate on the 512-source development cohort.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/8a79e267cb0cb7b6243900cb3bc194e0eb069a85/docs/local-goal-search-budget-20260919/FINAL-REPORT.md ; https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","Native success and paired contrasts; All four arms","RB1: 32 exposed sources; RB2: 512 distinct development sources; diffusion5 versus matched GMM5","interpretation","A previously confirmed diffusion advantage was disproved universally."
"RB2 does not establish diffusion superiority, equality, equivalence or noninferiority.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","All four arms; Limits and next handoff","512 sources, fixed three seed blocks and two horizons; D5-G5 and D30-G30","limitation","Diffusion and GMM are equivalent, or GMM is universally superior."
"The family-by-budget interaction hypothesis was unsupported, with estimate +0.0326 pp and interval [-1.9531,+2.0508] pp.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","All four arms","512 sources; (D5-G5)-(D30-G30)","reported result","There is no interaction, or CEM erased the diffusion advantage."
"Both families showed lower measured episode time and lower point-estimated success at five than at thirty populations.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","All four arms; Timing, allocation and memory","512 sources; within-family five versus thirty","interpretation","Five populations are statistically Pareto-optimal or causally equally effective."
"Neither continuation nor native SAGE was a live RB2 arm; matched local GMM is not native SAGE.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/07aa9bbe30a3bd89dcae6f3ad1f713979f2048c1/docs/local-goal-proposals-20260918/FINAL-REPORT.md ; https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","What was actually compared; Fixed question and population","Shared local-goal planner; GMM/diffusion at five and thirty","limitation","RB2 proves continuation or diffusion beats native SAGE."
"RB2 is outcome-informed recent-method-role-disjoint development replication, not untouched confirmation or universally source-unseen evaluation.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","Fixed question and population","512 selected from 1280 eligible exposed IDs after excluding 320 registered role IDs","limitation","Every component was trained and selected without any prior exposure to this population."
"LGP1 did not establish a matched thirty-population diffusion advantage: -1.0417 pp, original interval [-7.292,+5.208] pp.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/07aa9bbe30a3bd89dcae6f3ad1f713979f2048c1/docs/local-goal-proposals-20260918/FINAL-REPORT.md","Primary native closed-loop result","32 exposed sources; 192 episodes per family; matched GMM versus diffusion30","reported result","LGP1 established equality or universal diffusion inferiority."
"Diffusion lower offline best-of-300 action error did not translate into higher LGP1 native success.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/07aa9bbe30a3bd89dcae6f3ad1f713979f2048c1/docs/local-goal-proposals-20260918/FINAL-REPORT.md","Supporting measurements, not alternative endpoints","Six fixed models; common validation rows; 32 exposed evaluation sources","interpretation","The offline metric caused failure, or the world model was proven defective."
"RB1 at five populations gave D-G +3.1250 pp [-3.6458,+9.8958]; at thirty -1.0417 pp [-7.8125,+5.2083].","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/8a79e267cb0cb7b6243900cb3bc194e0eb069a85/docs/local-goal-search-budget-20260919/FINAL-REPORT.md","Native success and paired contrasts","Same 32 sources; five new, thirty reused; no independent replication of thirty","reported result","Five-population superiority was confirmed on independent data."
"RB1 reuses thirty-population outcomes but its own published interval does not amend LGP1 original interval.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/8a79e267cb0cb7b6243900cb3bc194e0eb069a85/docs/local-goal-search-budget-20260919/FINAL-REPORT.md ; https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/07aa9bbe30a3bd89dcae6f3ad1f713979f2048c1/docs/local-goal-proposals-20260918/FINAL-REPORT.md","Native success and paired contrasts; Primary native closed-loop result","Same 32 sources, different frozen bootstrap seeds in original reports","limitation","The two thirty-population intervals are interchangeable or newly computed here."
"RB1 changes in the family difference relative to thirty included zero at both one and five populations.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/8a79e267cb0cb7b6243900cb3bc194e0eb069a85/docs/local-goal-search-budget-20260919/FINAL-REPORT.md","Native success and paired contrasts","32 exposed sources; budget1-minus30 and budget5-minus30 interactions","reported result","Positive budget1 family contrast proved the interaction mechanism."
"Each RB2 arm contains 3072 episodes, but the source reference is the independent statistical unit.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","All four arms","512 sources x two horizons x three fixed seed blocks per arm","limitation","RB2 has 12288 independent source or model replications."
"RB2 used six unchanged LGP1 models, no fitting, and four fixed arms with fresh episode-owned state.","https://github.com/ckontz01/diffusion-world-model-planning-thesis/blob/0b6507fc7398eb0624d0755035db22e666de74d5/docs/local-goal-source-replication-publication-20260920/completion-v6/FINAL-REPORT.md","Fixed question and population","1536 GPU source/seed jobs, 12288 fresh episodes","reported result","RB2 trained new models or repeated successful evaluations to improve outcomes."
